id_artista,nombre,genero_musical,pais,cache_eur,email_manager,telefono
ART-0050,Ruido Blanco,techno,venezuela,220.687,ruido.blanco@management.com,+34 603 895 645
ART-0118,  Fosforescente  ,Hip-Hop,Argetina,269617,correo sin arroba.com,+34 629 597 483
ART-0171,Grafito,JAZZ,EE.UU.,152310,@dominio.com,+34 612 976 369
ART-0178,Nirvana,Metall,Kolombia,"272,939",nirvana@yahoo.es,+34671555103
ART-0117,Estrépito,ska,ESPAÑA,82568,estrepito@musica.es,+34 659 330 166
ART-0146,Huracán,Electrónic,ESPAÑA,185706,huracan@management.com,624-464-938
ART-0012,Beto y los Fugitivos,POP,CHILE,228942,beto.y.los.fugitivos@gmail.com,614282218
ART-0207,Rapsodia,rock,CHILE,198744,rapsodia@musica.es,0034664343201
ART-0113,Canto Rodado,hip-hop,PORTUGAL,164813,canto.rodado@musica.es,646991504999
ART-0055,Pulso Urbano,FOLK,Brasil,135345,pulso.urbano@hotmail.com,641 746 937
ART-0045,Cuarto Creciente,folk, España,293241,cuarto.creciente@gmail.com,642587
ART-0221,CLAVE DE SOL,pop,Espana,164555€,tiene espacios @correo.com,0034684187049
ART-0161,Wavelength,flamenco,COLOMBIA,160448,wavelength@yahoo.es,638 124 318
ART-0037,Tercer Acto  ,Rokc,mexico,137951,tercer.acto@yahoo.es,681363974999
ART-0054,Destello,R & B,Italia,22.106,destello@hotmail.com,0034615353091
ART-0140,Bumerán,INDIE,México,197562€,bumeran@yahoo.es,663-411-827
ART-0195,Fénix,Metal,portugal,257286€,@dominio.com,+34 675686878
ART-0067,Sendero,Techno,Reino Unido,60814€,sendero@outlook.com,640 780 112
ART-0223, La Máquina,Indie,Francia,246392,la.maquina@musica.es,+34635812670
ART-0061,Viento Sur,Reguetón,Peru,136451,viento.sur@musica.es,+34 632 394 260
ART-0165,Atardecer,hip hop,R. Unido,39.258,atardecer@hotmail.com,+34641954112
ART-0109,Coral,ELECTRONICA,chile,288496,coral@outlook.com,613 311 507
ART-0147,ícaro,Pop,BRASIL,240955,-,672884
ART-0130,Relámpago,CUMBIA,Portugal,28454,relampago@management.com,633-822-301
ART-0145,Géminis,INDIE,Perú,133985,geminis@yahoo.es,+34678101741
ART-0052,Alma Libre,electronica,R. Dominicana,"243,062",alma.libre@yahoo.es,650885459
ART-0013,Alma Negra,techno,ITALIA,267161,alma.negra@hotmail.com,+34600076758
ART-0030,Impulso,Cumbia,Italia,139403,impulso@yahoo.es,+34 605917225
ART-0144,Fulgor,Flamenco,PERU,36483,fulgor@musica.es,
ART-0220,tercer acto,Rokc,mexico,137951,tercer.acto@yahoo.es,681363974999
ART-0184,Tundra,flamenco,venezuela,"83,806",tundra@outlook.com,0034612007214
ART-0222, Amanecer,REGGAETON,México,293590,correo sin arroba.com,659421007
ART-0011,La Máquina,Indie,Francia,246392,la.maquina@musica.es,+34635812670
ART-0119,Galaxia,salsa,españa,"5,030",galaxia@hotmail.com,
ART-0058,OASIS SONORO,Kunbia,Perú,7633,oasis.sonoro@outlook.com,687302916
ART-0210,Urano,POP,cuba,247148,urano@yahoo.es,629-698-906
ART-0006,THE ELECTRIC SHEEP,Hip-Hop,UK,192277,the.electric.sheep@yahoo.es,0034697861742
ART-0135,Watt,Metall,United Kingdom,"23,907",watt@management.com,0034660254091
ART-0072,Radio Pirata,TECHNO,Kolombia,38439€,no disponible,+34 693 916 665
ART-0003,DJ Voltaje,Folk,PORTUGAL,146852,dj.voltaje@gmail.com,+34628898923
ART-0149,Kaleidoscopio,ska,FRANCIA,178752,kaleidoscopio@outlook.com,+34 610 593 403
ART-0068,Amanecer,REGGAETON,México,293590,amanecer@musica.es,659421007
ART-0122,Jardín  Secreto,Jazz,colombia,242223,jardin.secreto@yahoo.es,+34 610 555 833
ART-0035,Melodía Errante,r&b,brasil,57673,melodia.errante@gmail.com,0034640962024
ART-0083,Lux,FLAMENCO,Reino Unido,181944,lux@musica.es,0034651401477
ART-0066,Ráfaga,FLAMENCO,chile,67206,rafaga@outlook.com,606895666
ART-0031,  Brisa Marina,Jaz,CUBA,69587€,brisa.marina@yahoo.es,692-747-083
ART-0096,Dharma,Reguetón,colombia,"283,805",dharma@yahoo.es,664672520
ART-0029,Frecuencia Zero,Ska,COLOMBIA,"139,656",N/A,0034646020613
ART-0005,  Luna Roja  ,flamenco,chile,190600,luna.roja@management.com,+34 613 556 182
ART-0025,Aurora Boreal,ska,PORTUGAL,130087,aurora.boreal@gmail.com,0034634999379
ART-0094,Alquimia,TECHNO,Venezuela,151048,alquimia@hotmail.com,690-968-005
ART-0173,Iridiscente,ELECTRONICA,brasil,"175,609",iridiscente@musica.es,+34 621 810 655
ART-0046,Horizonte,Salsa,R. Dominicana,265649,horizonte@musica.es,685585469
ART-0124,lava,metal,Rep. Dominicana,78.432,lava@hotmail.com,666319
ART-0125,Mosaico,R & B,portugal,236355,mosaico@musica.es,620261
ART-0208,salamandra,Techno,VENEZUELA,175569,salamandra@gmail.com,0034632560305
ART-0016,Cristal Roto,Metall,Chile,210.186,cristal.roto@management.com,602823170999
ART-0212,Willow,FOLK,US,177980,willow@outlook.com,647-268-285
ART-0087,Los Vagabundos,Tekno,ITALIA,280771€,los.vagabundos@yahoo.es,684712997
ART-0065,trópico,salsa,Chile,53704,tropico@yahoo.es,+34 606109013
ART-0228,Alma  Negra,techno,ITALIA,267161,tiene espacios @correo.com,+34600076758
ART-0229, Viento Sur,POP,Peru,136451,viento.sur@musica.es,+34 632 394 260
ART-0053,Corriente Alterna,R & B,Rep. Dominicana,222021,corriente.alterna@gmail.com,687 260 863
ART-0009,Noche Azul,Electrónic,CHILE,74206,noche.azul@musica.es,0034648586340
ART-0086,Vórtice,METAL,COLOMBIA,215946,vortice@hotmail.com,+34610779739
ART-0206,Quirón,Flamenco,Kolombia,204643,quiron@hotmail.com,0034697252113
ART-0156,  Rugido  ,regueton,Mexico,72160,rugido@outlook.com,+34642894344
ART-0213,Los  Olvidados,SKA,estados unidos,70369,los.olvidados@musica.es,+34 613 009 833
ART-0148,Jungla Urbana,HipHop,españa,101193€,jungla.urbana@gmail.com,653690
ART-0219,El Circo Eléctrico ,FLAMENCO,R. Dominicana,239043€,-,619997018
ART-0151,Meridiano,METAL,United Kingdom,185311,meridiano@management.com,607 698 469
ART-0167,Crepúsculo,electro,México,27531,crepusculo@outlook.com,+34643947691
ART-0209,Titán,INDIE,venezuela,"126,478",titan@yahoo.es,666743
ART-0073,Los Invisibles,hip hop,US,"284,105",los.invisibles@gmail.com,0034612257687
ART-0015,El Último Vals  ,R & B,Kolombia,68314,el.ultimo.vals@musica.es,0034697969689
ART-0123,  Kilómetro Cero  ,Techno,CHILE,179002,kilometro.cero@hotmail.com,+34646892354
ART-0211,Vestigio,ROCK,Chile,291.094,vestigio@musica.es,0034676475853
ART-0138,Zenit,Techno,peru,291739€,zenit@management.com,660306604999
ART-0157,Solsticio,metal,mexico,289356,solsticio@yahoo.es,626-975-128
ART-0095,VENTISCA,cumbia,Mexico,21668,ventisca@outlook.com,655-767-881
ART-0120,Helio,METAL,Francia,93114,helio@musica.es,+34 658548403
ART-0074,Magma,Cumbia,Republica Dominicana,11876,magma@management.com,637-333-543
ART-0187,Wisteria,Folk,venezuela,71.359,wisteria@outlook.com,634-529-507
ART-0192,  Cáctus  ,SALSA,ARGENTINA,115886,cactus@outlook.com,663193474999
ART-0133,ultramar,hip-hop,Colombia,"113,298",ultramar@outlook.com,668140959999
ART-0090,Altavoz,ELECTRONICA,México,201.563,altavoz@hotmail.com,661682508
ART-0128,Penumbra,Folk,venezuela,99691€,penumbra@outlook.com,646 095 437
ART-0154,Pólvora,folk,CUBA,"41,310",polvora@musica.es,603-478-029
ART-0041,Nómada,hip hop,Argetina,226385,nomada@musica.es,663-509-974
ART-0205,Prisma,indie,Kolombia,283029,prisma@hotmail.com,655902739999
ART-0169,Equinoccio,Reggaetón,Argetina,"186,018",no disponible,
ART-0217,el eco,Electrónica,Kolombia,122247,el.eco@hotmail.com,+34 655804273
ART-0136,Xenón,flamenco,ARGENTINA,163250,xenon@outlook.com,659135
ART-0042,Reverso,Cumbia,México,149785,reverso@management.com,626-726-767
ART-0110,Obsidiana,techno,italia,"290,058",obsidiana@hotmail.com,655 833 185
ART-0162,Xilófono,HIP HOP,Argentina,289799,xilofono@management.com,677-933-054
ART-0200,Kometa,Jazz,Kolombia,145519,kometa@management.com,0034602099943
ART-0232,los eternos,Salsa,italia,212978,los.eternos@outlook.com,+34 611 267 237
ART-0056,Clave de Sol,SALSA,Espana,164555€,clave.de.sol@outlook.com,0034684187049
ART-0104,Rayo,pop,RD,291564,rayo@hotmail.com,+34 679991301
ART-0057,Delirio,Pop,BRASIL,159116,delirio@musica.es,609255216999
ART-0107,Topacio,FOLK,EE.UU.,"117,155",topacio@gmail.com,+34 604180968
ART-0103,jade,Indie,Chile,100514,jade@outlook.com,0034616901217
ART-0049,Fusión Latina,Reggaeton,R. Dominicana,221276,fusion.latina@musica.es,+34 640 079 111
ART-0080,  Andén Cero  ,POP,italia,81725,anden.cero@management.com,632713
ART-0131,Sístole,Jaz,México,75149,sistole@yahoo.es,641551377999
ART-0051,Los Eternos,Jazz,italia,212978,los.eternos@outlook.com,+34 611 267 237
ART-0001,  Los Rebeldes  ,Cumbia,méxico,14112,los.rebeldes@hotmail.com,+34 679 254 563
ART-0152,Nebulosa,Cumbia,Italia,213971,nebulosa@management.com,+34 658810561
ART-0018,Los Olvidados,reggaeton,estados unidos,70369,los.olvidados@musica.es,+34 613 009 833
ART-0216,GRIETA,Electrónica,Colombia,"202,109",correo@,+34655692629
ART-0198,Iris,jazz,VENEZUELA,201529,iris@outlook.com,+34 672 109 613
ART-0215,vórtice,METAL,COLOMBIA,215946,vortice@hotmail.com,+34610779739
ART-0225,órbita,Indy,cuba,216364,correo@,687-512-508
ART-0077,Neón,Techno,Estados Unidos,1603,neon@musica.es,666906
ART-0185,Utopía,flamenco,Brasil,20555,utopia@hotmail.com,666-489-301
ART-0081,Grieta,flamenco,Colombia,"202,109",grieta@musica.es,+34655692629
ART-0168,Diáspora,Reguetón,cuba,84541€,diaspora@musica.es,667839
ART-0032,Código Rojo,Flamenco,españa,194575,codigo.rojo@hotmail.com,+34605354599
ART-0121,Incandescente,folk,VENEZUELA,41822,incandescente@musica.es,+34 654362516
