id_artista,nombre,genero_musical,pais,cache_eur,email_manager,telefono
ART-0050,Ruido Blanco,Techno,Venezuela,220687,ruido.blanco@management.com,+34603895645
ART-0118,Fosforescente,Hip Hop,Argentina,269617,,+34629597483
ART-0171,Grafito,Jazz,Estados Unidos,152310,@dominio.com,+34612976369
ART-0178,Nirvana,Metal,Colombia,272.939,nirvana@yahoo.es,+34671555103
ART-0117,Estrépito,Ska,España,82568,estrepito@musica.es,+34659330166
ART-0146,Huracán,Electrónica,España,185706,huracan@management.com,624464938
ART-0012,Beto Y Los Fugitivos,Pop,Chile,228942,beto.y.los.fugitivos@gmail.com,614282218
ART-0207,Rapsodia,Rock,Chile,198744,rapsodia@musica.es,0034664343201
ART-0113,Canto Rodado,Hip Hop,Portugal,164813,canto.rodado@musica.es,646991504999
ART-0055,Pulso Urbano,Folk,Brasil,135345,pulso.urbano@hotmail.com,641746937
ART-0045,Cuarto Creciente,Folk,España,293241,cuarto.creciente@gmail.com,
ART-0221,Clave De Sol,Pop,España,164555,tieneespacios@correo.com,0034684187049
ART-0161,Wavelength,Flamenco,Colombia,160448,wavelength@yahoo.es,638124318
ART-0037,Tercer Acto,Rock,México,137951,tercer.acto@yahoo.es,681363974999
ART-0054,Destello,R&B,Italia,22106,destello@hotmail.com,0034615353091
ART-0140,Bumerán,Indie,México,197562,bumeran@yahoo.es,663411827
ART-0195,Fénix,Metal,Portugal,257286,@dominio.com,+34675686878
ART-0067,Sendero,Techno,Reino Unido,60814,sendero@outlook.com,640780112
ART-0223,La Máquina,Indie,Francia,246392,la.maquina@musica.es,+34635812670
ART-0061,Viento Sur,Reggaetón,Perú,136451,viento.sur@musica.es,+34632394260
ART-0165,Atardecer,Hip Hop,Reino Unido,39258,atardecer@hotmail.com,+34641954112
ART-0109,Coral,Electrónica,Chile,288496,coral@outlook.com,613311507
ART-0147,Ícaro,Pop,Brasil,240955,,
ART-0130,Relámpago,Cumbia,Portugal,28454,relampago@management.com,633822301
